00000008-10 13:52:22 [INFO] Network Analyzer started
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 1514 bytes
08-10 13:52:35 [DEBUG] Packet processed: 66 bytes
08-10 13:52:35 [DEBUG] Packet 08-10 13:53:56 [INFO] Network Analyzer started
08-10 13:53:58 [INFO] Network: 192.168.7.0, Netmask: 255.255.255.0
08-10 13:53:59 [INFO] Successfully applied filter: tcp
08-10 13:53:59 [INFO] Packet capture started
08-10 13:54:08 [INFO] Packet capture stopped
08-10 13:54:08 [DEBUG] Packet processed: 94 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 98 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 54 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 307 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 329 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 74 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1450 bytes
08-10 13:54:08 [DEBUG] Packet processed: 467 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1446 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1446 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1446 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1446 bytes
08-10 13:54:08 [DEBUG] Packet processed: 691 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 130 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 74 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1454 bytes
08-10 13:54:08 [DEBUG] Packet processed: 502 bytes
08-10 13:54:08 [DEBUG] Packet processed: 74 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1514 bytes
08-10 13:54:08 [DEBUG] Packet processed: 744 bytes
08-10 13:54:08 [DEBUG] Packet processed: 74 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1454 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1464 bytes
08-10 13:54:08 [DEBUG] Packet processed: 513 bytes
08-10 13:54:08 [DEBUG] Packet processed: 74 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1494 bytes
08-10 13:54:08 [DEBUG] Packet processed: 580 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1266 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1514 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1514 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1514 bytes
08-10 13:54:08 [DEBUG] Packet processed: 636 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 130 bytes
08-10 13:54:08 [DEBUG] Packet processed: 158 bytes
08-10 13:54:08 [DEBUG] Packet processed: 516 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 421 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1494 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1494 bytes
08-10 13:54:08 [DEBUG] Packet processed: 327 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 1514 bytes
08-10 13:54:08 [DEBUG] Packet processed: 165 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 78 bytes
08-10 13:54:08 [DEBUG] Packet processed: 725 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
08-10 13:54:08 [DEBUG] Packet processed: 587 bytes
08-10 13:54:08 [DEBUG] Packet processed: 66 bytes
